,Province/State,Country/Region,Lat,Long,Date,Confirmed,Recovered,Deaths,Month-Year,Date Shifted,Confirmed Daily,Recovered Daily,Deaths Daily
27,Bahrain,Bahrain,26.0275,50.55,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
28,Kuwait,Kuwait,29.5,47.75,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
29,Algeria,Algeria,28.0339,1.6596,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
30,Croatia,Croatia,45.1,15.2,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
31,Switzerland,Switzerland,46.8182,8.2275,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
32,Austria,Austria,47.5162,14.5501,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
33,Israel,Israel,31.0,35.0,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
34,Pakistan,Pakistan,30.3753,69.3451,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
35,Brazil,Brazil,-14.235,-51.9253,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
36,Georgia,Georgia,42.3154,43.3569,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
37,Greece,Greece,39.0742,21.8243,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
38,North Macedonia,North Macedonia,41.6086,21.7453,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
39,Norway,Norway,60.472,8.4689,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
40,Romania,Romania,45.9432,24.9668,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
41,Estonia,Estonia,58.5953,25.0136,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
42,San Marino,San Marino,43.9424,12.4578,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
43,Belarus,Belarus,53.7098,27.9534,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
44,Iceland,Iceland,64.9631,-19.0208,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
45,Lithuania,Lithuania,55.1694,23.8813,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
46,Mexico,Mexico,23.6345,-102.5528,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
47,New Zealand,New Zealand,-40.9006,174.886,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
48,Nigeria,Nigeria,9.082,8.6753,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
49,Western Australia,Australia,-31.9505,115.8605,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
50,Ireland,Ireland,53.1424,-7.6921,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
51,Luxembourg,Luxembourg,49.8153,6.1296,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
52,Monaco,Monaco,43.7333,7.4167,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
53,Qatar,Qatar,25.3548,51.1839,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
54,Ecuador,Ecuador,-1.8312,-78.1834,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
55,Azerbaijan,Azerbaijan,40.1431,47.5769,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
